input_channel_id,E[X],E[Xs],W,W_scaled,scale
0,0.0252066,0.7702631,0.02722,0.0008908203,0.032724664
1,-0.0073684533,-0.25456494,-0.01471,-0.0004257698,0.02894528
2,0.0003186973,0.00904245,-0.0608,-0.0021425535,0.035244573
3,-0.027986081,-0.80853224,0.0835,0.002890087,0.034613438
4,-0.0026209636,-0.076605275,-0.04565,-0.0015620105,0.03421388
5,-0.005601478,-0.1555726,0.06152,0.0022151857,0.036005557
6,0.017265616,0.49181804,0.03174,0.0011141945,0.035105698
7,-0.00050038745,-0.014394698,0.0038,0.0001320758,0.034761928
8,0.02294645,0.98287904,0.0337,0.00078656495,0.02334616
9,0.024548784,0.63922006,-0.01477,-0.00056725065,0.038404275
10,0.016619306,0.45743996,-0.0004387,-1.5938107e-05,0.03633112
11,0.0035981582,0.1017879,-0.01892,-0.00066884555,0.035349566
12,-0.010112609,-0.28568378,-0.1079,-0.003819794,0.03539791
13,-0.013851916,-0.4219338,-0.02722,-0.00089367677,0.032829598
14,-0.01639798,-0.4832948,-0.006348,-0.00021537316,0.033929557
15,-0.00997154,-0.2600677,0.01343,0.00051484746,0.038342096
16,0.019227918,0.5358943,-0.003845,-0.00013796653,0.03588006
17,0.022078035,0.6163067,0.0801,0.002868649,0.03582313
18,0.0033952098,0.088594906,-0.001694,-6.49084e-05,0.038322855
19,-0.02272533,-0.6995671,0.02246,0.00072964013,0.032484848
20,0.015537845,0.33763734,-0.0459,-0.0021122156,0.046019334
21,-0.008741028,-0.26234928,0.02368,0.0007890317,0.033318285
22,-0.033659413,-1.0020958,-0.0801,-0.0026897455,0.033589017
23,-0.0045763147,-0.15301105,-0.04443,-0.0013289374,0.029908393
24,0.00057803304,0.0213233,-0.01453,-0.00039378143,0.027108047
25,0.010643568,0.27544782,0.05347,0.0020660085,0.03864096
26,-0.018258722,-0.5129428,-0.05127,-0.0018249913,0.03559602
27,0.0006592482,0.019828169,0.02124,0.00070619665,0.033248063
28,0.013966009,0.45239195,0.00531,0.00016392936,0.030871479
29,0.022166971,0.547784,-0.02234,-0.00090397865,0.04046663
30,-0.021883212,-0.24716106,-0.0884,-0.007824915,0.08853827
31,-0.0006782643,-0.019343678,0.05176,0.0018148294,0.035063874
32,-0.0006649787,-0.01741187,-0.04248,-0.0016223763,0.03819111
33,-0.031422168,-0.7361514,-0.06152,-0.00262609,0.042684384
34,-0.0025200257,-0.07317829,0.02795,0.0009626496,0.034436792
35,-0.005871823,-0.1731979,-0.03564,-0.0012084348,0.03390239
36,0.008719144,0.21972132,-0.0581,-0.0023057843,0.039682742
37,-0.0153075075,-0.4420825,0.02075,0.0007185552,0.034625906
38,0.01541165,0.38026488,-0.09326,-0.0037797783,0.040528722
39,-0.0155737335,-0.4991209,-0.01819,-0.0005675228,0.031202327
40,-0.0050536706,-0.15182953,0.012146,0.00040428145,0.033285163
41,0.0053622285,0.16900447,0.0359,0.0011386874,0.031728324
42,-0.009619952,-0.20422468,0.06226,0.0029325467,0.04710475
43,0.016458793,0.5144531,-0.05713,-0.0018277133,0.031992793
44,0.008595055,0.35598257,0.02637,0.0006366251,0.024144595
45,-0.027806181,-0.73815376,-0.02942,-0.0011082089,0.037669905
46,0.005463935,0.14267255,0.0349,0.00133703,0.038297027
47,0.019412726,0.5936603,0.0004177,1.365912e-05,0.032700058
48,-0.00756559,-0.20678279,-0.05273,-0.0019293998,0.036587138
49,0.010293913,0.32864407,0.03735,0.0011700009,0.031322375
50,-0.006487026,-0.22282998,0.0635,0.0018479296,0.029111998
51,-0.018598206,-0.45786807,-0.03516,-0.0014280166,0.04061914
52,-0.010718859,-0.31978068,0.0459,0.0015384883,0.033519406
53,0.0067349263,0.14863671,-0.01196,-0.0005420544,0.045311324
54,0.023047592,0.61337155,0.003815,0.00014333823,0.037575256
55,0.0032828099,0.04237133,-0.04883,-0.003783064,0.07747715
56,-0.020292714,-0.58491296,0.0177,0.0006140828,0.03469356
57,-0.0140230805,-0.38307333,0.04736,0.001733817,0.036606777
58,-0.038902357,-1.1770306,-0.01398,-0.00046195928,0.03305127
59,0.01000359,0.36004737,-0.0586,-0.0016279742,0.027784094
60,0.004779162,0.15410013,0.0354,0.0010978848,0.031013353
61,0.025827458,0.74771553,0.00836,0.00028883238,0.034541823
62,0.012757934,0.227128,-0.015015,-0.000843383,0.05617068
63,0.00068542676,6.295354,0.00641,6.977667e-07,0.000108878194
64,-0.0018926607,-0.056119233,0.03345,0.0011280326,0.033725705
65,0.006807113,0.17684446,-0.0006714,-2.584308e-05,0.03849209
66,-0.0036966128,-0.14351137,0.01636,0.00042133985,0.025758328
67,0.011864487,0.34661555,-0.0515,-0.0017632886,0.03422953
68,-0.011277241,-0.37490675,0.00705,0.00021205164,0.030080123
69,-0.011502315,-0.35895357,-0.02051,-0.00065715273,0.03204402
70,0.011280804,0.31296998,0.03394,0.0012231852,0.036044363
71,0.017761953,0.54208034,-0.0454,-0.0014879217,0.032766275
72,-0.005558515,-0.17409445,0.00656,0.00020948955,0.031928156
73,0.0058213174,0.16455905,-0.05933,-0.0020986781,0.03537525
74,-0.01576811,-0.3973663,0.0737,0.0029257394,0.03968155
75,0.0077446788,0.21790004,0.0454,0.0016139835,0.035542347
76,0.0064957347,0.14609337,0.00638,0.00028359212,0.0444629
77,0.013152971,0.31604233,0.012634,0.00052581023,0.04161775
78,0.009140901,0.28538367,-0.0747,-0.0023928825,0.032030217
79,0.01951227,0.50667614,-0.083,-0.0031966588,0.038510337
80,-0.0072817504,-0.2257624,0.0116,0.0003740398,0.032254044
81,0.024050014,0.6100764,-0.013306,-0.00052452675,0.039421313
82,0.014289531,0.42168024,-0.02478,-0.00083973224,0.033887126
83,-0.027606828,-0.58973706,0.0376,0.001760025,0.046812095
84,-0.0048672967,-0.1475958,0.001434,4.730007e-05,0.032977205
85,-0.020982753,-0.59864694,-0.003998,-0.00014012418,0.0350503
